,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,0.844,1.036,1.001,0.905,0.886,0.928,0.834,1.089,0.866,0.845,0.918
1,0.864,0.817,0.990,1.058,1.058,0.857,0.817,0.876,0.960,0.877,0.890
2,0.850,0.866,1.114,0.859,0.877,0.868,0.912,0.843,0.867,0.869,0.934
3,1.012,0.937,1.087,0.954,0.876,0.842,0.814,0.876,0.947,0.831,0.871
4,0.807,0.938,1.094,0.885,1.118,1.307,0.781,0.840,0.936,0.854,0.883
5,0.825,0.988,1.065,0.966,1.013,1.142,1.391,0.904,1.026,0.844,0.817
6,0.862,0.840,0.884,0.853,1.386,0.857,0.846,0.779,0.948,0.807,0.869
7,0.900,0.977,1.015,1.282,1.024,1.337,0.870,0.913,1.024,0.886,0.893
8,0.847,0.909,1.059,0.926,0.978,1.225,0.859,0.878,0.950,0.852,0.868
9,0.840,0.975,0.860,1.054,0.764,0.841,0.873,0.831,0.975,0.866,0.920
