,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,0.838,0.973,1.003,0.951,1.018,1.168,0.807,1.005,0.926,0.839,0.927
1,0.870,0.677,1.020,0.917,0.837,0.857,0.831,1.188,0.912,0.876,0.880
2,0.860,0.839,1.272,0.809,0.818,0.993,0.908,0.960,0.929,0.869,0.919
3,0.974,0.869,1.029,0.829,1.192,1.267,0.833,0.787,0.907,0.838,0.739
4,0.864,0.958,1.155,1.146,1.078,1.403,0.778,0.864,0.963,0.869,0.831
5,0.834,0.961,1.058,0.863,1.243,0.883,1.427,0.891,1.018,0.870,0.770
6,0.858,0.865,0.983,1.267,0.944,0.854,0.851,0.836,0.916,0.826,0.873
7,0.969,0.944,0.869,0.859,1.267,0.869,1.070,0.844,1.051,0.888,0.865
8,0.840,0.890,0.974,0.909,1.271,1.359,0.726,0.873,0.906,0.855,0.888
9,0.807,1.011,1.063,0.762,1.301,0.856,0.847,0.744,0.900,0.769,0.882
