,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,1.009,0.345,0.473,0.253,0.171,0.472,1.267,0.375,0.361,1.475,0.464
1,1.181,1.882,0.370,0.365,0.234,1.387,1.239,1.115,0.177,1.266,0.912
2,1.176,1.187,0.422,0.142,0.160,0.919,1.098,0.330,0.331,1.085,1.826
3,0.499,1.102,0.558,0.196,0.168,1.307,0.834,1.217,0.336,1.390,1.673
4,0.520,0.968,0.578,0.237,0.240,0.202,1.051,1.601,0.761,0.869,0.486
5,0.949,1.512,0.533,0.227,0.188,0.227,0.434,1.115,0.691,1.018,0.519
6,1.271,1.974,0.462,0.130,0.251,1.222,1.159,0.689,0.640,1.185,0.950
7,0.545,0.942,0.433,0.339,0.211,0.173,1.086,1.077,0.839,1.707,0.924
8,1.226,1.693,0.420,0.252,0.135,0.157,1.542,0.946,0.717,1.856,1.366
9,1.243,0.986,0.315,0.370,0.121,1.821,1.464,0.839,0.347,1.593,1.771
