,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,1.605,0.578,0.452,0.200,0.360,0.392,0.223,1.084,0.373,0.428,0.580
1,1.351,0.992,0.216,0.320,0.125,0.822,1.279,0.335,0.628,0.623,0.691
2,0.278,0.462,0.331,0.114,1.140,0.733,0.249,1.132,0.277,0.985,0.547
3,1.528,0.441,0.404,0.191,0.145,0.548,1.224,0.210,0.738,1.286,0.490
4,0.558,0.780,0.465,0.356,0.125,0.133,0.797,1.251,0.798,0.471,0.496
5,1.128,1.290,0.699,0.217,0.201,0.744,0.402,0.452,0.601,0.160,0.259
6,0.544,1.245,0.472,0.139,0.391,0.994,0.901,0.285,0.199,0.740,1.181
7,0.449,0.507,0.276,0.379,0.744,1.009,0.643,0.976,0.403,1.267,0.682
8,0.342,0.726,0.242,0.212,1.513,1.286,1.319,0.488,0.314,1.244,0.309
9,0.629,1.169,0.242,0.155,0.295,0.687,0.736,1.170,0.883,0.622,0.793
