,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,0.871,0.880,0.865,0.894,0.917,0.928,1.067,0.922,0.884,0.941,1.017
1,0.831,0.986,0.891,0.958,0.847,0.908,0.875,0.858,0.812,0.906,0.950
2,0.927,0.840,0.854,0.819,0.913,1.002,1.097,0.882,0.896,0.962,0.837
3,0.862,0.929,0.966,0.843,0.955,0.987,0.845,0.837,0.970,0.925,0.926
4,0.895,0.873,0.966,0.854,0.849,1.002,1.014,0.902,0.942,0.918,0.830
5,0.872,0.845,0.989,0.905,0.853,0.813,0.889,0.828,0.925,0.852,0.867
6,0.874,0.892,0.828,0.847,0.833,0.837,0.825,0.944,0.878,0.916,0.871
7,1.005,0.934,0.867,0.990,0.876,0.867,0.874,0.896,0.858,0.861,0.973
8,0.945,0.931,0.862,0.858,0.842,0.962,0.882,0.909,0.925,0.907,0.848
9,0.906,1.109,0.815,0.840,0.932,0.879,0.881,0.934,0.861,0.953,1.047
