,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition
0,0.900,0.844,1.360,0.947,0.822,0.932,0.942,0.855
1,0.869,0.820,1.151,1.161,0.993,0.992,0.919,0.845
2,0.760,0.817,0.894,0.961,0.958,0.779,0.915,0.838
3,0.857,0.832,0.851,0.998,0.853,0.739,0.912,0.868
4,0.814,0.833,1.047,0.947,0.957,0.882,0.923,0.811
5,1.071,0.909,1.078,0.880,1.030,0.820,0.914,0.855
6,0.830,0.805,0.978,0.827,0.837,0.760,0.892,0.851
7,0.852,0.842,1.032,0.988,0.999,0.803,0.925,1.012
8,0.872,0.809,0.929,0.935,0.861,0.774,1.093,0.823
9,0.839,0.707,0.970,1.091,0.796,0.758,0.826,0.673
10,0.856,0.749,0.969,0.955,1.295,0.865,0.896,0.836
11,0.845,0.760,1.096,0.868,0.910,0.854,0.838,0.787
12,0.823,0.838,0.868,1.022,0.898,0.823,0.933,0.846
13,0.841,0.851,1.000,0.912,0.923,0.905,0.968,0.933
14,0.839,0.836,0.997,0.967,0.904,0.858,0.916,0.855
15,0.825,0.909,0.979,0.965,0.911,0.840,0.845,0.850
16,0.909,0.855,1.049,0.999,0.889,0.808,0.959,0.855
17,0.824,0.816,1.142,0.959,1.254,0.748,0.971,0.870
18,0.842,0.923,1.040,0.976,0.973,0.772,1.042,0.892
19,0.857,0.842,1.056,0.979,0.911,0.867,0.896,0.859
20,0.879,0.852,1.005,0.931,0.843,0.788,0.832,0.893
21,0.858,0.821,0.992,0.850,1.007,0.758,0.895,0.790
22,0.865,0.834,1.149,1.015,0.768,0.871,0.853,0.843
23,0.856,0.788,1.118,0.892,0.897,0.821,0.787,0.845
24,0.870,0.849,1.120,1.047,0.810,0.883,0.867,0.868
25,0.815,0.807,1.040,1.042,0.988,0.902,0.991,0.833
26,0.836,0.768,1.057,1.035,0.829,0.877,0.935,0.853
27,0.866,0.832,1.169,0.847,0.857,0.803,0.945,0.821
28,0.866,0.847,0.832,0.936,0.873,0.782,0.982,0.891
29,0.831,0.831,1.080,0.968,0.973,0.721,0.959,0.847
30,0.851,0.862,0.964,0.841,0.837,0.768,0.867,0.890
31,0.842,0.923,1.023,1.001,0.803,0.764,0.888,0.833
32,0.824,0.856,1.017,0.958,0.808,0.790,0.853,0.829
33,0.843,0.838,1.058,0.974,0.938,0.771,0.885,0.924
34,0.867,0.863,1.139,1.083,0.805,0.801,0.833,0.827
35,0.842,0.886,1.020,0.855,0.959,0.875,0.966,0.829
