,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP,0.013,0.014,0.020,0.016,0.015,0.047,0.026,0.014,0.012,0.007,0.010,0.018
SVWP,0.007,0.012,0.021,0.008,0.017,0.048,0.003,0.011,0.011,0.003,0.010,0.014
DCC_joint,0.013,0.011,0.010,0.010,0.014,0.009,0.008,0.006,0.008,0.004,0.012,0.009
SW_cross_validated,0.016,0.013,0.013,0.022,0.015,0.012,0.023,0.020,0.012,0.008,0.018,0.016
SW_15,0.008,0.014,0.015,0.014,0.010,0.013,0.012,0.009,0.010,0.014,0.018,0.012
SW_30,0.011,0.023,0.013,0.015,0.007,0.009,0.007,0.007,0.008,0.011,0.016,0.011
SW_60,0.013,0.015,0.012,0.012,0.004,0.005,0.004,0.005,0.009,0.007,0.013,0.009
SW_120,0.020,0.013,0.011,0.005,0.007,0.005,0.004,0.008,0.013,0.010,0.011,0.010
sFC,0.009,0.009,0.002,0.001,0.002,0.001,0.003,0.004,0.004,0.004,0.004,0.004
