,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.026,0.012,0.023,0.027,0.032,,,0.048,0.019,0.008,,0.024
DCC_joint,0.023,0.011,0.020,0.019,0.019,,,0.016,0.016,0.009,,0.017
DCC_bivariate_loop,0.025,0.012,0.021,0.019,0.019,,,0.016,0.017,0.008,,0.017
SW_cross_validated,0.023,0.012,0.019,0.019,0.018,,,0.021,0.016,0.010,,0.017
SW_15,0.018,0.019,0.019,0.020,0.018,,,0.018,0.018,0.020,,0.019
SW_30,0.018,0.014,0.018,0.020,0.017,,,0.018,0.015,0.016,,0.017
SW_60,0.019,0.012,0.016,0.017,0.010,,,0.009,0.012,0.013,,0.013
SW_120,0.027,0.013,0.019,0.012,0.009,,,0.013,0.013,0.013,,0.015
sFC,0.022,0.010,0.003,0.003,0.004,,,0.004,0.003,0.006,,0.007
