,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.023,0.028,0.032,0.033,0.033,,,0.035,0.208,0.011,,0.050
DCC_joint,0.023,0.027,0.022,0.020,0.019,,,0.017,0.018,0.012,,0.020
DCC_bivariate_loop,0.024,0.027,0.023,0.020,0.019,,,0.017,0.019,0.012,,0.020
SW_cross_validated,0.019,0.033,0.039,0.038,0.035,,,0.025,0.034,0.021,,0.031
SW_15,0.019,0.049,0.034,0.035,0.035,,,0.027,0.034,0.029,,0.033
SW_30,0.018,0.045,0.030,0.030,0.028,,,0.024,0.030,0.025,,0.029
SW_60,0.017,0.037,0.023,0.022,0.014,,,0.012,0.027,0.018,,0.021
SW_120,0.025,0.032,0.029,0.016,0.011,,,0.015,0.032,0.022,,0.023
sFC,0.023,0.010,0.003,0.003,0.004,,,0.004,0.004,0.006,,0.007
