,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.026,0.026,0.094,0.125,0.156,,,0.241,0.146,0.172,,0.123
DCC_joint,0.057,0.021,0.185,0.231,0.264,,,0.243,0.215,0.163,,0.172
DCC_bivariate_loop,0.066,0.023,0.188,0.234,0.266,,,0.246,0.225,0.166,,0.177
SW_cross_validated,0.099,0.036,0.124,0.152,0.178,,,0.208,0.149,0.179,,0.141
SW_15,0.229,0.092,0.174,0.182,0.191,,,0.213,0.177,0.210,,0.183
SW_30,0.160,0.060,0.128,0.156,0.203,,,0.207,0.150,0.186,,0.156
SW_60,0.117,0.042,0.133,0.240,0.383,,,0.313,0.160,0.191,,0.197
SW_120,0.100,0.036,0.233,0.457,0.476,,,0.309,0.197,0.186,,0.249
sFC,0.053,0.019,0.437,0.437,0.438,,,0.308,0.501,0.167,,0.295
