,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,21.18,59.93,452.78,262.94,137.51,58.46,8.59
DCC_bivariate_loop,,,21.18,,42.28,444.13,248.23,122.05,48.45,-13.05
SW_cross_validated,,,59.93,42.28,,327.43,170.56,73.69,24.33,-53.77
SW_15,,,452.78,444.13,327.43,,-180.51,-222.75,-143.14,-461.77
SW_30,,,262.94,248.23,170.56,-180.51,,-79.60,-66.74,-263.07
SW_60,,,137.51,122.05,73.69,-222.75,-79.60,,-20.57,-133.32
SW_120,,,58.46,48.45,24.33,-143.14,-66.74,-20.57,,-54.71
sFC,,,8.59,-13.05,-53.77,-461.77,-263.07,-133.32,-54.71,
