,0,1,2
363,1.00,,
364,0.90,0.10,
365,1.00,,
366,1.00,,
367,0.94,0.06,
368,1.00,,
369,0.89,0.11,
370,1.00,,
371,1.00,,
372,1.00,,
373,0.99,0.01,
374,1.00,0.00,
375,1.00,,
376,0.83,0.17,
377,0.78,0.22,
378,1.00,,
379,1.00,,
380,1.00,,
381,1.00,0.00,
382,1.00,,
383,1.00,,
384,1.00,,
385,1.00,,
386,1.00,,
387,1.00,,
388,1.00,,
389,1.00,,
390,1.00,,
391,1.00,,
392,0.75,0.25,
393,1.00,0.00,
394,1.00,,
395,1.00,,
396,0.94,0.06,
397,1.00,,
398,1.00,,
399,0.99,0.01,
400,1.00,,
401,1.00,0.00,
402,1.00,,
403,1.00,,
404,1.00,,
405,1.00,,
406,1.00,,
407,1.00,,
408,1.00,0.00,
409,0.99,0.00,0.01
410,1.00,,
411,1.00,,
412,0.95,0.05,
413,1.00,,
414,0.82,0.18,
415,1.00,,
416,1.00,,
417,1.00,,
418,1.00,,
419,1.00,0.00,
420,1.00,,
421,1.00,,
422,1.00,,
423,1.00,,
424,1.00,,
425,1.00,,
426,1.00,,
427,1.00,,
428,1.00,,
429,0.94,0.06,
430,0.98,0.02,
431,0.96,0.04,
432,1.00,,
433,1.00,,
434,1.00,,
435,1.00,,
436,1.00,,
437,1.00,,
438,1.00,,
439,1.00,,
440,1.00,,
441,1.00,0.00,
442,1.00,,
443,1.00,,
444,1.00,,
445,1.00,,
446,1.00,0.00,
447,0.99,0.01,
448,0.55,0.45,
449,1.00,,
450,1.00,,
451,0.96,0.04,
452,1.00,,
453,1.00,,
454,1.00,,
455,1.00,,
456,1.00,,
457,1.00,,
458,1.00,,
459,1.00,,
460,1.00,,
461,1.00,,
462,1.00,,
463,1.00,,
464,1.00,,
465,1.00,,
466,1.00,,
467,1.00,,
468,1.00,,
469,1.00,,
470,1.00,,
471,0.94,0.06,
472,1.00,,
473,1.00,,
474,0.91,0.09,
475,1.00,0.00,
476,1.00,,
477,1.00,,
478,0.93,0.07,
479,0.98,0.02,
480,1.00,,
481,0.99,0.01,
482,1.00,,
483,1.00,,
484,1.00,,
485,1.00,,
486,1.00,,
487,0.99,0.01,
488,0.97,0.03,
489,1.00,,
490,1.00,,
491,0.99,0.01,
492,1.00,,
493,1.00,,
494,1.00,,
495,0.95,0.05,
496,0.92,0.08,
497,1.00,,
498,1.00,,
499,1.00,,
500,1.00,,
501,1.00,,
502,1.00,,
503,1.00,,
504,1.00,,
505,0.90,0.10,
506,1.00,,
507,1.00,,
508,1.00,,
509,1.00,,
510,1.00,,
511,1.00,,
512,1.00,,
513,1.00,,
514,0.96,0.04,
515,1.00,,
516,1.00,,
517,1.00,0.00,
518,1.00,,
519,1.00,0.00,
520,1.00,,
521,1.00,,
522,1.00,,
523,1.00,,
524,0.88,0.12,
525,1.00,,
526,1.00,,
527,1.00,0.00,
528,1.00,,
529,1.00,,
530,1.00,,
531,1.00,,
532,1.00,,
533,0.80,0.20,
534,1.00,,
535,0.97,0.02,0.01
536,1.00,,
537,1.00,,
538,1.00,,
539,1.00,,
540,1.00,,
541,1.00,0.00,
542,0.97,0.03,
543,1.00,,
544,1.00,,
545,1.00,,
546,0.96,0.04,
547,1.00,,
548,1.00,,
549,1.00,,
550,0.89,0.11,
551,1.00,0.00,
552,0.98,0.02,
553,1.00,,
554,1.00,,
555,1.00,,
556,0.99,0.01,
557,1.00,,
558,1.00,,
559,1.00,,
560,1.00,,
561,0.65,0.35,
562,1.00,,
563,1.00,,
564,0.98,0.02,
565,1.00,,
566,1.00,,
567,1.00,,
568,1.00,,
569,1.00,,
570,1.00,,
571,1.00,,
572,1.00,,
573,1.00,,
574,0.91,0.09,
575,0.89,0.11,
576,1.00,,
577,1.00,,
578,1.00,,
579,1.00,,
580,1.00,,
581,1.00,,
582,1.00,,
583,1.00,,
584,1.00,,
585,0.99,0.00,0.00
586,1.00,,
587,1.00,,
588,1.00,,
589,1.00,,
590,1.00,,
591,1.00,,
592,1.00,,
593,1.00,,
594,1.00,,
595,1.00,,
596,1.00,,
597,1.00,,
598,0.92,0.08,
599,1.00,0.00,
600,1.00,,
601,1.00,,
602,1.00,,
603,1.00,,
604,1.00,,
605,1.00,,
606,1.00,,
607,1.00,,
608,0.93,0.07,
609,1.00,,
610,1.00,,
611,1.00,,
612,0.92,0.08,
613,0.95,0.03,0.01
614,1.00,,
615,1.00,,
616,0.74,0.26,
617,1.00,,
618,0.46,0.54,
619,1.00,,
620,0.99,0.01,
621,1.00,,
622,1.00,0.00,
623,1.00,,
624,0.39,0.61,
625,1.00,,
626,0.89,0.10,0.01
627,0.97,0.03,
628,0.99,0.01,
629,1.00,0.00,
630,1.00,,
631,1.00,,
632,1.00,,
633,1.00,0.00,
634,1.00,,
635,1.00,,
636,1.00,,
637,1.00,,
638,1.00,,
639,1.00,,
640,0.89,0.11,
641,1.00,,
