,0,1,2
271,0.50,0.49,0.01
272,0.95,0.05,
273,0.93,0.07,
274,0.72,0.28,
275,1.00,,
276,0.20,0.59,0.21
277,0.75,0.11,0.14
278,0.35,0.48,0.16
279,0.50,0.50,
280,0.95,0.05,
281,0.37,0.18,0.45
282,0.71,0.29,
283,0.21,0.41,0.37
284,0.59,0.10,0.31
285,0.93,0.07,
286,1.00,,
287,0.21,0.76,0.03
288,0.82,0.18,
289,0.71,0.29,
290,0.85,0.15,
291,0.51,0.49,
292,0.68,0.32,
293,0.30,0.68,0.02
294,0.60,0.33,0.07
295,0.71,0.17,0.11
296,0.19,0.53,0.28
297,0.82,0.14,0.03
298,0.43,0.14,0.43
299,0.04,0.37,0.59
300,1.00,,
301,1.00,,
302,0.18,0.47,0.35
303,1.00,,
304,0.74,0.26,
305,0.75,0.25,
306,0.47,0.36,0.17
307,0.44,0.04,0.52
308,0.03,0.97,
309,0.20,0.56,0.24
310,0.24,0.17,0.59
311,0.81,0.19,
312,0.13,0.59,0.28
313,0.87,0.13,
314,0.60,0.17,0.22
315,0.74,0.12,0.14
316,0.23,0.40,0.38
317,0.53,0.30,0.17
318,0.92,0.08,
319,0.40,0.39,0.21
320,1.00,,
321,0.01,0.98,
322,0.30,0.63,0.07
323,0.58,0.06,0.36
324,0.37,0.26,0.37
325,1.00,,
326,0.90,0.10,
327,0.59,0.41,
328,1.00,,
329,0.87,0.13,
330,1.00,,
331,0.15,0.28,0.56
332,0.86,0.14,
333,0.48,0.30,0.23
334,0.90,0.10,
335,0.70,0.24,0.06
336,1.00,,
337,1.00,,
338,0.95,0.05,
339,1.00,,
340,0.01,0.07,0.92
341,1.00,,
342,1.00,,
343,0.28,0.58,0.13
344,0.65,0.13,0.22
345,0.90,0.08,0.02
346,0.71,0.08,0.21
347,0.37,0.42,0.21
348,0.46,0.03,0.51
349,0.12,0.26,0.62
350,0.99,0.01,
351,1.00,,
352,0.71,0.28,
353,1.00,,
354,0.18,0.82,
355,0.33,0.67,0.00
356,0.28,0.72,0.00
357,1.00,,
358,1.00,,
359,0.21,0.72,0.07
360,1.00,,
361,0.60,0.33,0.07
362,0.81,0.19,
363,0.93,0.07,
364,0.74,0.26,0.00
365,0.37,0.29,0.34
366,1.00,,
367,0.62,0.17,0.21
368,0.29,0.49,0.22
369,0.33,0.46,0.21
370,0.97,0.03,
371,0.67,0.12,0.21
372,1.00,,
373,0.59,0.13,0.28
374,0.06,0.50,0.44
375,0.85,0.15,
376,0.75,0.25,
377,0.71,0.29,0.00
378,1.00,,
379,0.99,0.01,
380,0.09,0.75,0.16
381,0.79,0.21,
382,1.00,,
383,1.00,,
384,1.00,,
385,0.13,0.87,
386,0.16,0.55,0.30
387,0.97,0.03,
388,0.78,0.22,
389,0.17,0.03,0.80
390,0.73,0.17,0.10
391,0.33,0.37,0.30
392,0.40,0.56,0.04
393,0.50,0.50,
394,1.00,,
395,0.55,0.45,
396,0.84,0.15,0.01
397,0.89,0.11,
398,0.87,0.13,
399,0.30,0.46,0.24
400,0.88,0.12,
401,0.73,0.21,0.06
402,0.22,0.78,
403,1.00,,
404,0.60,0.40,
405,0.15,0.69,0.16
406,0.08,0.49,0.43
407,0.58,0.25,0.17
408,0.45,0.55,
409,0.84,0.16,
410,0.88,0.10,0.02
411,0.98,0.02,
412,0.49,0.24,0.27
413,1.00,,
414,0.85,0.15,
415,1.00,,
416,0.56,0.44,
417,0.80,0.20,
418,1.00,,
419,0.26,0.34,0.40
420,0.89,0.11,
421,0.94,0.06,
422,0.21,0.79,
423,1.00,,
424,0.60,0.40,
425,0.97,0.03,
426,0.87,0.03,0.09
427,0.51,0.01,0.48
428,0.87,0.13,
429,0.70,0.30,
430,0.08,0.47,0.46
431,0.31,0.32,0.38
432,0.42,0.58,
433,1.00,,
434,0.35,0.39,0.25
435,1.00,,
436,1.00,,
437,0.09,0.09,0.82
438,1.00,,
439,1.00,0.00,
440,1.00,,
441,0.43,0.03,0.54
442,1.00,,
443,1.00,,
444,0.95,0.05,
445,0.63,0.12,0.25
446,0.71,0.28,
447,0.21,0.24,0.55
448,0.12,0.49,0.40
449,0.18,0.44,0.38
450,0.46,0.55,
451,0.67,0.07,0.26
452,0.91,0.09,
453,1.00,,
454,0.91,0.09,
455,0.33,0.09,0.58
456,0.04,0.96,
457,1.00,,
458,0.41,0.53,0.06
459,0.12,0.59,0.29
460,1.00,,
461,0.15,0.65,0.20
462,1.00,,
463,0.45,0.55,
464,0.02,0.34,0.65
465,0.78,0.15,0.06
466,0.44,0.56,
467,1.00,,
468,0.89,0.11,
469,0.99,0.01,
470,0.27,0.08,0.65
471,0.50,0.50,
472,0.53,0.28,0.20
473,0.00,0.67,0.33
474,0.75,0.24,0.01
475,0.40,0.17,0.43
476,1.00,,
477,0.29,0.42,0.30
478,0.27,0.64,0.09
479,0.52,0.25,0.23
480,0.59,0.10,0.31
481,0.63,0.36,0.01
482,0.29,0.31,0.39
483,0.21,0.26,0.53
484,0.35,0.08,0.57
485,1.00,,
486,0.96,0.04,
487,0.43,0.57,
488,0.91,0.09,
489,0.01,0.99,
490,0.45,0.55,
491,0.36,0.29,0.35
492,1.00,,
493,0.99,0.01,
494,1.00,,
495,0.48,0.52,
496,0.67,0.33,
497,0.50,0.16,0.34
498,0.01,0.98,0.01
499,0.44,0.51,0.06
500,1.00,,
501,1.00,,
502,1.00,,
503,0.32,0.34,0.34
504,0.19,0.06,0.75
505,0.92,0.08,
506,1.00,,
507,0.87,0.02,0.11
508,0.97,0.03,
509,0.72,0.21,0.07
510,0.44,0.47,0.09
511,0.36,0.32,0.32
512,1.00,,
513,1.00,,
514,0.87,0.07,0.06
515,0.22,0.75,0.03
516,0.29,0.13,0.58
517,0.71,0.29,
518,0.94,0.06,
519,0.46,0.54,
520,0.69,0.31,
521,1.00,,
522,0.93,0.07,
523,0.03,0.28,0.69
524,0.47,0.02,0.51
525,0.44,0.40,0.16
526,0.84,0.16,
527,0.70,0.28,0.02
528,0.99,0.01,
529,1.00,,
530,0.97,0.03,
531,1.00,,
532,1.00,,
533,0.26,0.31,0.44
534,0.05,0.56,0.39
535,0.74,0.26,0.00
536,0.75,0.13,0.12
537,0.86,0.14,
538,0.98,0.02,
539,0.76,0.24,
540,0.26,0.73,0.01
541,0.34,0.57,0.10
542,0.39,0.59,0.02
543,0.85,0.06,0.09
544,0.30,0.70,
545,0.90,0.04,0.06
546,0.78,0.22,
547,0.89,0.01,0.11
548,0.97,0.03,
549,0.99,0.01,
550,0.31,0.38,0.31
551,0.56,0.26,0.18
552,0.88,0.01,0.11
553,0.98,0.02,
554,0.28,0.54,0.18
555,0.80,0.20,
556,0.71,0.29,
557,0.18,0.47,0.35
558,0.64,0.36,
559,0.40,0.45,0.15
560,1.00,,
561,0.58,0.38,0.04
562,0.83,0.17,
563,1.00,,
564,0.67,0.27,0.05
565,0.09,0.91,0.01
566,0.33,0.55,0.12
567,1.00,,
568,0.43,0.45,0.12
569,0.73,0.27,
570,0.55,0.12,0.33
571,0.42,0.13,0.45
572,0.96,0.04,
573,0.90,0.10,
574,0.68,0.12,0.19
575,0.54,0.46,
576,1.00,,
577,0.11,0.89,
578,0.72,0.28,
579,1.00,,
580,0.37,0.63,
581,0.96,0.04,
582,0.81,0.19,
583,0.16,0.23,0.62
584,1.00,,
585,0.65,0.32,0.03
586,0.84,0.16,
587,1.00,,
588,0.95,0.02,0.03
589,0.51,0.20,0.28
590,0.36,0.30,0.34
591,0.06,0.35,0.59
592,1.00,,
593,1.00,,
594,0.42,0.58,
595,0.96,0.04,
596,0.86,0.14,
597,1.00,,
598,0.73,0.09,0.17
599,0.69,0.24,0.07
600,0.59,0.41,
601,1.00,,
602,0.35,0.50,0.15
603,0.31,0.68,0.01
604,1.00,,
605,1.00,,
606,0.22,0.17,0.61
607,0.24,0.24,0.53
608,0.39,0.36,0.25
609,0.25,0.34,0.41
610,0.92,0.08,
611,0.98,0.02,
612,0.13,0.18,0.70
613,0.75,0.11,0.14
614,0.95,0.05,
615,0.18,0.59,0.23
616,0.74,0.26,
617,0.99,0.01,
618,0.46,0.54,
619,0.45,0.55,
620,0.78,0.22,
621,0.90,0.10,
622,0.47,0.53,0.00
623,1.00,,
624,0.50,0.43,0.07
625,0.26,0.15,0.58
626,0.41,0.35,0.24
627,0.32,0.51,0.16
628,0.57,0.42,
629,0.71,0.29,
630,1.00,,
631,0.99,0.01,
632,0.97,0.03,
633,0.50,0.43,0.07
634,1.00,,
635,0.99,0.01,
636,1.00,,
637,0.90,0.10,
638,0.97,0.03,
639,0.55,0.42,0.03
640,0.67,0.02,0.31
641,0.23,0.61,0.16
642,0.55,0.09,0.36
643,0.19,0.18,0.63
644,0.30,0.39,0.31
645,0.09,0.51,0.40
646,0.68,0.32,
647,1.00,,
648,0.91,0.09,
649,1.00,,
650,0.08,0.31,0.62
651,0.45,0.49,0.05
652,0.57,0.42,0.01
653,1.00,,
654,0.12,0.68,0.20
655,0.07,0.74,0.19
656,0.98,0.02,
657,1.00,,
658,0.99,0.01,
659,0.83,0.17,
660,1.00,,
661,1.00,,
662,0.19,0.76,0.05
663,0.47,0.53,
664,0.99,0.01,
665,0.58,0.39,0.04
666,0.25,0.50,0.26
667,0.99,0.00,0.00
668,0.27,0.54,0.19
669,0.50,0.50,
670,0.11,0.55,0.35
671,0.18,0.62,0.20
672,0.22,0.09,0.69
673,1.00,,
674,1.00,,
675,0.96,0.04,
676,0.50,0.50,
677,0.98,0.02,
678,1.00,,
679,0.97,0.03,
680,0.84,0.16,
681,0.96,0.04,
682,0.18,0.16,0.65
683,1.00,,
684,1.00,,
685,1.00,,
686,0.33,0.66,0.02
687,0.63,0.37,
688,0.93,0.07,
689,1.00,,
690,0.34,0.07,0.59
691,0.21,0.51,0.28
692,1.00,,
693,0.70,0.29,0.01
694,1.00,,
695,0.43,0.42,0.15
696,0.90,0.10,
697,0.39,0.54,0.07
698,0.40,0.37,0.24
699,0.97,0.03,
700,1.00,,
701,0.67,0.33,0.01
702,1.00,,
703,0.66,0.34,
704,0.72,0.28,
705,0.48,0.10,0.41
706,0.44,0.22,0.34
707,0.71,0.29,
708,0.97,0.03,
709,0.11,0.13,0.77
710,0.73,0.27,
711,0.24,0.76,
712,0.36,0.07,0.57
713,0.85,0.14,0.02
714,0.74,0.20,0.06
715,0.71,0.29,0.01
716,0.68,0.27,0.05
717,0.72,0.07,0.21
718,0.72,0.20,0.08
719,0.92,0.08,
720,0.43,0.57,
721,0.01,0.47,0.52
722,0.85,0.14,
723,0.96,0.04,
724,0.76,0.07,0.17
725,1.00,,
726,1.00,,
727,0.56,0.44,
728,0.27,0.52,0.21
729,0.97,0.02,0.01
730,0.17,0.71,0.12
731,0.95,0.05,
732,0.86,0.14,
733,1.00,,
734,1.00,,
735,0.56,0.44,
736,0.03,0.94,0.02
737,0.57,0.24,0.19
738,0.33,0.06,0.60
739,0.33,0.30,0.37
740,0.91,0.09,
741,1.00,,
742,0.51,0.17,0.32
743,1.00,,
744,0.31,0.28,0.41
745,0.26,0.74,
746,0.68,0.32,
747,1.00,,
748,0.32,0.10,0.58
749,0.33,0.03,0.65
750,0.46,0.45,0.09
751,0.99,0.01,
752,0.27,0.17,0.57
753,0.80,0.20,
754,0.81,0.19,
755,1.00,,
756,0.24,0.20,0.55
757,1.00,,
758,0.77,0.23,
759,1.00,,
760,1.00,,
761,0.97,0.03,
762,1.00,,
763,0.29,0.68,0.03
764,0.90,0.10,
765,0.15,0.46,0.40
766,1.00,,
767,0.17,0.82,
768,0.99,0.01,
769,0.74,0.26,
770,1.00,,
771,0.46,0.54,
772,0.48,0.52,
773,0.33,0.59,0.09
774,0.15,0.36,0.49
775,1.00,,
776,0.28,0.72,
777,0.34,0.66,
778,1.00,,
779,0.71,0.29,
780,0.44,0.52,0.05
781,0.14,0.43,0.43
782,1.00,,
783,0.12,0.45,0.43
784,0.69,0.30,
785,0.98,0.01,
786,0.81,0.19,
787,0.10,0.85,0.05
788,0.04,0.63,0.34
789,0.36,0.33,0.31
790,1.00,,
791,0.68,0.29,0.03
792,0.50,0.40,0.09
793,0.60,0.40,
794,0.82,0.18,
795,0.51,0.44,0.05
796,0.37,0.63,
797,0.43,0.57,
798,0.34,0.32,0.34
799,1.00,0.00,
800,0.07,0.24,0.69
801,0.81,0.18,
802,0.62,0.37,0.01
803,1.00,,
804,0.75,0.18,0.07
805,0.29,0.58,0.13
806,0.79,0.21,
807,0.56,0.44,
808,0.24,0.76,
809,1.00,,
810,0.52,0.48,
811,1.00,,
