,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1.00,-0.27,0.39,0.07,0.05,-0.03,-0.14,0.18,-0.11,-0.01,-0.00,0.17,-0.10,-0.07,0.01
1,-0.27,1.00,-0.25,0.07,-0.17,-0.11,0.16,-0.66,0.18,0.36,0.02,-0.35,-0.13,-0.09,-0.17
2,0.39,-0.25,1.00,-0.04,0.19,-0.04,-0.17,0.17,-0.04,-0.08,-0.08,-0.01,-0.01,0.16,0.08
3,0.07,0.07,-0.04,1.00,-0.01,0.00,0.05,-0.07,-0.08,0.05,0.10,-0.07,-0.02,0.05,0.07
4,0.05,-0.17,0.19,-0.01,1.00,-0.19,-0.28,0.14,-0.25,-0.11,-0.13,0.20,-0.16,-0.08,0.09
5,-0.03,-0.11,-0.04,0.00,-0.19,1.00,0.24,0.11,0.07,-0.18,0.06,0.04,0.18,-0.07,-0.05
6,-0.14,0.16,-0.17,0.05,-0.28,0.24,1.00,-0.12,0.09,0.08,0.07,-0.23,0.22,0.12,-0.12
7,0.18,-0.66,0.17,-0.07,0.14,0.11,-0.12,1.00,-0.21,-0.17,-0.02,0.34,0.13,0.04,0.18
8,-0.11,0.18,-0.04,-0.08,-0.25,0.07,0.09,-0.21,1.00,-0.17,-0.15,-0.11,0.01,0.18,-0.11
9,-0.01,0.36,-0.08,0.05,-0.11,-0.18,0.08,-0.17,-0.17,1.00,0.11,-0.24,0.02,-0.14,-0.08
10,-0.00,0.02,-0.08,0.10,-0.13,0.06,0.07,-0.02,-0.15,0.11,1.00,0.07,0.03,-0.11,-0.04
11,0.17,-0.35,-0.01,-0.07,0.20,0.04,-0.23,0.34,-0.11,-0.24,0.07,1.00,-0.05,-0.15,-0.03
12,-0.10,-0.13,-0.01,-0.02,-0.16,0.18,0.22,0.13,0.01,0.02,0.03,-0.05,1.00,0.23,0.08
13,-0.07,-0.09,0.16,0.05,-0.08,-0.07,0.12,0.04,0.18,-0.14,-0.11,-0.15,0.23,1.00,0.03
14,0.01,-0.17,0.08,0.07,0.09,-0.05,-0.12,0.18,-0.11,-0.08,-0.04,-0.03,0.08,0.03,1.00
