,0,1,2
0,0.57,0.43,
1,0.52,0.48,
2,1.00,,
3,1.00,,
4,0.59,0.41,
5,0.64,0.36,
6,0.29,0.61,0.10
7,0.10,0.91,
8,0.94,0.06,
9,1.00,,
10,1.00,,
11,1.00,,
12,0.30,0.06,0.64
13,1.00,,
14,1.00,,
15,1.00,,
16,0.20,0.55,0.25
17,0.60,0.40,
18,0.23,0.77,
19,1.00,,
20,1.00,,
21,0.36,0.64,
22,1.00,,
23,0.50,0.50,
24,0.01,0.99,
25,0.53,0.14,0.34
26,0.56,0.15,0.29
27,1.00,,
28,0.55,0.13,0.32
29,1.00,,
30,0.64,0.36,
31,0.39,0.39,0.22
32,0.65,0.09,0.26
33,0.82,0.17,
34,0.01,0.99,
35,1.00,,
36,0.06,0.94,
37,0.18,0.81,
38,0.06,0.46,0.49
39,1.00,,
40,1.00,,
41,1.00,,
42,0.13,0.61,0.26
43,1.00,,
44,1.00,,
45,0.44,0.56,
46,0.44,0.56,
47,0.19,0.75,0.06
48,1.00,,
49,1.00,,
50,1.00,,
51,0.11,0.89,
52,0.78,0.22,
53,0.14,0.65,0.22
54,0.91,0.09,
55,1.00,,
56,0.49,0.51,
57,0.79,0.21,
58,1.00,,
59,0.74,0.26,
60,0.63,0.37,
61,0.46,0.04,0.50
62,1.00,,
63,1.00,,
64,0.84,0.16,
65,0.42,0.58,
66,1.00,,
67,1.00,,
68,0.68,0.32,
69,1.00,,
70,0.66,0.34,
71,0.69,0.31,
72,1.00,,
73,0.62,0.38,
74,0.26,0.74,
75,1.00,,
76,1.00,,
77,0.34,0.32,0.34
78,1.00,,
79,0.27,0.73,
80,0.77,0.23,
81,0.44,0.08,0.48
82,0.57,0.19,0.24
83,0.69,0.15,0.16
84,1.00,,
85,1.00,,
86,0.58,0.41,
87,1.00,,
88,0.08,0.92,
89,0.79,0.21,
90,1.00,,
91,1.00,,
92,0.98,0.02,
93,0.49,0.17,0.34
94,0.60,0.40,
95,0.14,0.22,0.64
96,0.21,0.79,
97,1.00,,
98,0.32,0.31,0.37
99,0.61,0.39,
100,0.16,0.84,
101,1.00,,
102,0.28,0.45,0.27
103,0.07,0.93,
104,1.00,,
105,0.67,0.25,0.08
106,0.51,0.49,
107,1.00,,
108,1.00,,
109,0.78,0.10,0.11
110,0.85,0.10,0.05
111,0.28,0.15,0.57
112,1.00,,
113,0.43,0.56,
114,0.84,0.16,
115,0.01,0.99,
116,0.41,0.59,
117,0.69,0.25,0.06
118,0.17,0.16,0.67
119,0.82,0.18,
120,0.54,0.19,0.27
121,0.59,0.23,0.18
122,0.38,0.62,
123,0.07,0.13,0.81
124,1.00,,
125,1.00,,
126,0.57,0.35,0.08
127,0.06,0.94,
128,1.00,,
129,0.45,0.06,0.49
130,1.00,,
131,1.00,,
132,0.49,0.43,0.07
133,0.24,0.40,0.36
134,0.88,0.12,
135,1.00,,
136,0.29,0.55,0.15
137,0.36,0.11,0.53
138,0.95,0.05,
139,1.00,,
140,1.00,,
141,1.00,,
142,0.79,0.21,
143,0.05,0.42,0.53
144,0.10,0.46,0.44
145,0.06,0.22,0.72
146,1.00,,
147,0.05,0.15,0.80
148,0.15,0.43,0.41
149,0.77,0.23,
150,1.00,,
151,0.05,0.12,0.83
152,1.00,,
153,0.77,0.23,0.00
154,0.25,0.75,
155,1.00,,
156,0.82,0.17,0.02
157,0.06,0.94,
158,1.00,,
159,0.59,0.37,0.04
160,0.01,0.47,0.52
161,0.34,0.66,
162,1.00,,
163,1.00,,
164,1.00,,
165,0.36,0.20,0.44
166,1.00,,
167,1.00,,
168,0.78,0.23,
169,1.00,,
170,0.07,0.93,
171,1.00,,
172,0.33,0.67,
173,0.46,0.54,
174,0.71,0.29,
175,0.58,0.42,
176,1.00,,
177,0.84,0.16,
178,0.41,0.59,
179,0.07,0.66,0.28
180,0.28,0.72,
181,0.46,0.50,0.04
182,0.52,0.48,
183,0.11,0.28,0.61
184,0.25,0.75,
185,0.56,0.44,
186,0.56,0.44,
187,0.88,0.12,
188,1.00,,
189,1.00,,
190,1.00,,
191,0.81,0.19,
192,0.14,0.62,0.24
193,0.54,0.46,
194,0.73,0.27,
195,1.00,,
196,1.00,,
197,0.40,0.60,
198,1.00,,
