,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point
0,0.837,0.825,1.186,1.398,1.554,1.847,1.847,0.867,0.901,0.837,0.822
1,0.825,0.818,1.062,1.337,1.756,1.847,1.847,1.418,0.946,0.825,0.822
2,0.866,0.867,1.070,1.257,1.991,1.847,1.847,0.831,0.906,0.749,0.822
3,0.834,0.823,1.249,1.109,1.734,1.847,1.847,0.810,0.853,0.871,0.822
4,0.865,0.834,1.177,0.952,1.366,1.847,1.847,1.127,0.849,0.852,0.822
5,0.846,0.917,1.094,1.215,1.107,1.847,1.847,0.812,0.835,0.854,0.822
6,0.871,0.762,0.949,1.145,2.248,1.847,1.847,0.897,0.910,1.278,0.822
7,0.758,0.784,0.977,1.166,1.861,1.847,1.847,0.900,0.916,0.833,0.822
8,0.884,0.814,1.073,1.158,1.128,1.847,1.847,0.852,0.817,0.798,0.822
9,1.145,0.814,1.057,1.723,1.847,1.847,1.847,0.827,1.114,0.822,0.822
