,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point
0,1.527,2.385,0.875,0.383,0.266,0.298,0.298,1.226,0.443,1.337,2.105
1,1.866,2.294,0.467,0.314,0.318,0.298,0.298,0.604,0.395,2.255,2.105
2,1.435,1.727,0.752,0.295,0.351,0.298,0.298,1.784,0.358,1.041,2.105
3,1.748,2.281,0.742,0.412,0.264,0.298,0.298,1.523,0.422,1.518,2.105
4,1.538,2.340,0.728,0.311,0.242,0.298,0.298,0.433,0.463,1.951,2.105
5,1.832,2.264,0.461,0.454,0.209,0.298,0.298,1.835,0.358,1.777,2.105
6,1.562,1.765,0.523,0.279,0.355,0.298,0.298,1.613,0.510,0.668,2.105
7,1.258,2.382,0.503,0.340,0.328,0.298,0.298,0.684,0.550,1.932,2.105
8,1.280,2.435,0.778,0.349,0.226,0.298,0.298,1.797,0.414,1.696,2.105
9,0.627,2.730,0.535,0.409,0.298,0.298,0.298,0.774,0.290,2.105,2.105
