,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point
0,0.840,0.834,1.218,1.056,1.461,0.901,0.901,0.911,0.877,0.822,0.824
1,0.844,0.828,1.029,1.013,1.178,0.901,0.901,1.037,0.904,0.825,0.824
2,0.834,0.847,1.028,0.851,1.713,0.901,0.901,1.303,0.944,0.811,0.824
3,0.850,0.852,1.063,1.145,0.907,0.901,0.901,0.746,0.904,0.856,0.824
4,0.871,0.861,1.188,1.115,1.155,0.901,0.901,1.556,0.775,0.789,0.824
5,0.865,0.916,0.965,1.159,1.280,0.901,0.901,1.006,0.841,0.831,0.824
6,0.742,0.838,1.241,1.158,2.057,0.901,0.901,0.851,1.019,0.838,0.824
7,0.786,0.841,1.039,1.045,0.984,0.901,0.901,0.895,0.942,0.822,0.824
8,0.803,0.794,1.105,0.810,1.185,0.901,0.901,0.830,0.792,0.810,0.824
9,0.838,0.841,1.140,1.211,0.901,0.901,0.901,0.770,0.850,0.824,0.824
