,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.015,0.026,0.036,0.050,0.055,0.124,0.208,0.103,0.074,0.074,0.054,0.074
DCC_joint,0.034,0.043,0.145,0.180,0.189,0.198,0.203,0.128,0.178,0.078,0.093,0.133
DCC_bivariate_loop,0.047,0.048,0.081,0.097,0.105,0.120,0.119,0.100,0.095,0.078,0.074,0.088
SW_cross_validated,0.070,0.077,0.110,0.129,0.143,0.166,0.169,0.133,0.124,0.098,0.079,0.118
SW_15,0.237,0.224,0.225,0.228,0.227,0.232,0.234,0.230,0.228,0.231,0.239,0.230
SW_30,0.160,0.156,0.154,0.164,0.160,0.170,0.173,0.165,0.160,0.162,0.163,0.163
SW_60,0.113,0.109,0.111,0.128,0.140,0.175,0.207,0.132,0.125,0.120,0.115,0.134
SW_120,0.091,0.087,0.109,0.155,0.234,0.283,0.301,0.157,0.119,0.108,0.097,0.158
sFC,0.034,0.044,0.247,0.247,0.249,0.248,0.247,0.140,0.284,0.078,0.109,0.175
