,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.009,0.053,0.100,0.139,0.177,0.329,0.585,0.286,0.220,0.201,0.147,0.204
DCC_joint,0.033,0.029,0.195,0.280,0.332,0.400,0.422,0.298,0.248,0.189,0.183,0.237
DCC_bivariate_loop,0.044,0.032,0.182,0.236,0.260,0.307,0.311,0.250,0.233,0.180,0.160,0.199
SW_cross_validated,0.072,0.159,0.158,0.178,0.217,0.273,0.274,0.251,0.241,0.219,0.159,0.200
SW_15,0.230,0.324,0.309,0.296,0.317,0.294,0.314,0.280,0.326,0.292,0.289,0.297
SW_30,0.157,0.232,0.219,0.215,0.233,0.233,0.280,0.233,0.257,0.228,0.212,0.227
SW_60,0.115,0.171,0.161,0.184,0.265,0.380,0.497,0.241,0.238,0.209,0.150,0.237
SW_120,0.086,0.154,0.157,0.343,0.608,0.764,0.816,0.372,0.269,0.232,0.157,0.360
sFC,0.031,0.022,0.689,0.691,0.693,0.691,0.693,0.376,0.795,0.193,0.293,0.470
