,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,0.002,0.003,0.003,,,0.090,0.003,0.028,,0.022
DCC_joint,,,0.004,0.005,0.010,,,0.015,0.002,0.074,,0.018
DCC_bivariate_loop,,,0.004,0.004,0.007,,,0.012,0.002,0.033,,0.010
SW_cross_validated,,,0.004,0.003,0.005,0.007,0.004,0.027,0.002,0.051,0.007,0.012
SW_15,,,0.006,0.005,0.008,0.007,0.005,0.011,0.004,0.033,0.028,0.012
SW_30,,,0.004,0.003,0.005,0.007,0.005,0.006,0.004,0.029,0.023,0.010
SW_60,,,0.003,0.002,0.006,0.012,0.013,0.017,0.002,0.036,0.011,0.011
SW_120,,,0.002,0.007,0.054,0.054,0.040,0.015,0.002,0.027,0.009,0.023
sFC,,,,,,,,,,,,
