,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.014,0.018,0.006,0.014,0.014,0.078,0.069,0.032,0.011,0.005,0.005,0.024
DCC_joint,0.010,0.017,0.012,0.008,0.007,0.008,0.006,0.005,0.012,0.005,0.006,0.009
DCC_bivariate_loop,0.015,0.017,0.013,0.009,0.013,0.013,0.013,0.006,0.010,0.008,0.010,0.011
SW_cross_validated,0.013,0.015,0.018,0.013,0.012,0.006,0.006,0.010,0.015,0.009,0.007,0.011
SW_15,0.010,0.005,0.008,0.007,0.006,0.009,0.010,0.008,0.009,0.007,0.007,0.008
SW_30,0.010,0.005,0.011,0.014,0.010,0.010,0.007,0.007,0.009,0.006,0.010,0.009
SW_60,0.008,0.007,0.010,0.012,0.016,0.009,0.007,0.008,0.010,0.004,0.010,0.009
SW_120,0.010,0.012,0.011,0.010,0.015,0.004,0.006,0.006,0.014,0.008,0.015,0.010
sFC,0.009,0.018,0.001,0.002,0.003,0.003,0.003,0.004,0.003,0.004,0.003,0.005
