,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.018,0.012,0.014,0.015,0.034,0.234,0.204,0.085,0.035,0.007,0.015,0.061
DCC_joint,0.026,0.014,0.032,0.026,0.043,0.025,0.035,0.018,0.016,0.005,0.027,0.024
DCC_bivariate_loop,0.032,0.012,0.031,0.024,0.034,0.031,0.039,0.017,0.020,0.016,0.020,0.025
SW_cross_validated,0.026,0.012,0.026,0.009,0.044,0.069,0.032,0.039,0.018,0.011,0.012,0.027
SW_15,0.028,0.015,0.020,0.023,0.022,0.035,0.021,0.020,0.024,0.025,0.028,0.024
SW_30,0.025,0.010,0.021,0.026,0.024,0.032,0.020,0.015,0.016,0.022,0.030,0.022
SW_60,0.028,0.011,0.026,0.015,0.037,0.027,0.017,0.020,0.008,0.014,0.022,0.021
SW_120,0.034,0.024,0.019,0.019,0.029,0.007,0.008,0.011,0.014,0.014,0.012,0.017
sFC,0.030,0.012,0.001,0.003,0.006,0.003,0.006,0.004,0.004,0.005,0.002,0.007
