,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,0.990,0.983,0.977,,,0.549,0.964,-0.017,,0.741
DCC_joint,,,0.961,0.918,0.892,,,0.727,0.952,0.175,,0.771
DCC_bivariate_loop,,,0.965,0.942,0.927,,,0.760,0.957,0.441,,0.832
SW_cross_validated,,,0.974,0.975,0.957,0.944,0.932,0.750,0.956,0.031,0.877,0.822
SW_15,,,0.900,0.914,0.898,0.908,0.898,0.777,0.918,0.486,0.680,0.820
SW_30,,,0.950,0.958,0.945,0.949,0.928,0.823,0.950,0.519,0.795,0.869
SW_60,,,0.974,0.974,0.955,0.917,0.828,0.777,0.958,0.353,0.893,0.848
SW_120,,,0.985,0.951,0.581,-0.381,-0.672,0.254,0.950,-0.057,0.890,0.389
sFC,,,,,,,,,,,,
