,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.009,0.028,0.067,0.085,0.129,0.325,0.582,0.281,0.191,0.198,0.139,0.185
DCC_joint,0.033,0.021,0.192,0.279,0.329,0.398,0.420,0.296,0.243,0.187,0.183,0.235
DCC_bivariate_loop,0.044,0.024,0.178,0.234,0.258,0.307,0.310,0.249,0.229,0.178,0.159,0.197
SW_cross_validated,0.080,0.036,0.115,0.152,0.176,0.258,0.241,0.245,0.174,0.202,0.122,0.164
SW_15,0.262,0.118,0.179,0.177,0.190,0.200,0.197,0.237,0.169,0.241,0.216,0.199
SW_30,0.174,0.078,0.124,0.135,0.154,0.190,0.233,0.208,0.153,0.193,0.154,0.163
SW_60,0.124,0.056,0.112,0.157,0.250,0.376,0.493,0.234,0.174,0.193,0.114,0.207
SW_120,0.094,0.046,0.168,0.350,0.604,0.762,0.811,0.380,0.224,0.214,0.120,0.343
sFC,0.031,0.023,0.689,0.691,0.693,0.691,0.693,0.376,0.795,0.193,0.293,0.470
