,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,0.005,0.011,0.010,,,0.284,0.009,0.090,,0.068
DCC_joint,,,0.013,0.017,0.030,,,0.048,0.007,0.236,,0.058
DCC_bivariate_loop,,,0.012,0.012,0.022,,,0.037,0.007,0.106,,0.032
SW_cross_validated,,,0.011,0.008,0.015,0.022,0.014,0.087,0.005,0.161,0.022,0.038
SW_15,,,0.018,0.015,0.024,0.023,0.015,0.034,0.013,0.106,0.090,0.037
SW_30,,,0.012,0.010,0.017,0.023,0.015,0.019,0.012,0.092,0.072,0.030
SW_60,,,0.009,0.007,0.020,0.037,0.040,0.052,0.005,0.114,0.035,0.035
SW_120,,,0.007,0.021,0.170,0.172,0.125,0.048,0.006,0.086,0.027,0.074
sFC,,,,,,,,,,,,
