,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.018,0.034,0.020,0.048,0.056,0.233,0.200,0.080,0.035,0.008,0.015,0.068
DCC_joint,0.026,0.018,0.032,0.026,0.043,0.026,0.035,0.017,0.016,0.005,0.032,0.025
DCC_bivariate_loop,0.032,0.017,0.031,0.026,0.037,0.030,0.041,0.017,0.019,0.018,0.022,0.026
SW_cross_validated,0.027,0.015,0.036,0.019,0.049,0.060,0.023,0.038,0.018,0.019,0.015,0.029
SW_15,0.022,0.033,0.031,0.028,0.039,0.032,0.022,0.019,0.028,0.028,0.038,0.029
SW_30,0.022,0.035,0.026,0.027,0.041,0.040,0.016,0.010,0.035,0.022,0.031,0.028
SW_60,0.026,0.029,0.029,0.017,0.046,0.025,0.016,0.025,0.021,0.020,0.020,0.025
SW_120,0.033,0.031,0.024,0.025,0.032,0.008,0.009,0.009,0.025,0.014,0.022,0.021
sFC,0.030,0.013,0.001,0.003,0.006,0.003,0.006,0.003,0.004,0.005,0.002,0.007
