,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.011,0.020,0.014,0.015,0.020,0.052,0.046,0.018,0.019,0.009,0.009,0.021
DCC_joint,0.010,0.019,0.011,0.009,0.008,0.008,0.007,0.005,0.013,0.005,0.007,0.009
DCC_bivariate_loop,0.015,0.019,0.012,0.009,0.015,0.012,0.014,0.007,0.013,0.007,0.009,0.012
SW_cross_validated,0.008,0.011,0.019,0.016,0.016,0.014,0.011,0.015,0.022,0.006,0.005,0.013
SW_15,0.009,0.011,0.013,0.010,0.013,0.010,0.010,0.009,0.012,0.013,0.010,0.011
SW_30,0.010,0.011,0.013,0.012,0.015,0.011,0.009,0.010,0.015,0.010,0.012,0.011
SW_60,0.011,0.011,0.011,0.011,0.018,0.010,0.009,0.010,0.015,0.007,0.007,0.011
SW_120,0.011,0.016,0.013,0.012,0.016,0.006,0.008,0.006,0.015,0.007,0.010,0.011
sFC,0.009,0.018,0.001,0.002,0.003,0.003,0.003,0.004,0.003,0.004,0.003,0.005
