,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.024,0.028,0.002,0.002,0.003,0.002,0.004,0.009,0.001,0.004,0.005,0.008
DCC_bivariate_loop,0.028,0.026,0.029,0.026,0.027,0.026,0.027,0.016,0.021,0.013,0.039,0.025
SW_cross_validated,0.027,0.018,0.023,0.010,0.005,0.004,0.005,0.005,0.011,0.010,0.022,0.013
SW_15,0.027,0.035,0.038,0.034,0.025,0.035,0.030,0.026,0.037,0.032,0.042,0.033
SW_30,0.030,0.047,0.042,0.029,0.039,0.034,0.029,0.027,0.024,0.031,0.043,0.034
SW_60,0.030,0.041,0.033,0.029,0.032,0.022,0.016,0.021,0.014,0.025,0.045,0.028
SW_120,0.033,0.038,0.029,0.019,0.020,0.009,0.009,0.024,0.012,0.014,0.027,0.021
sFC,0.027,0.007,0.002,0.003,0.002,0.002,0.004,0.008,0.003,0.003,0.003,0.006
