,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.024,0.007,0.003,0.003,0.003,0.002,0.004,0.008,0.002,0.002,0.003,0.005
DCC_bivariate_loop,0.029,0.010,0.024,0.026,0.026,0.029,0.026,0.016,0.022,0.012,0.041,0.024
SW_cross_validated,0.030,0.010,0.017,0.012,0.007,0.005,0.010,0.010,0.009,0.007,0.013,0.012
SW_15,0.027,0.014,0.017,0.021,0.024,0.027,0.024,0.032,0.021,0.029,0.034,0.025
SW_30,0.031,0.016,0.014,0.027,0.032,0.024,0.020,0.031,0.017,0.028,0.029,0.024
SW_60,0.033,0.011,0.018,0.013,0.023,0.021,0.015,0.020,0.016,0.015,0.034,0.020
SW_120,0.034,0.011,0.022,0.014,0.019,0.006,0.008,0.016,0.011,0.007,0.021,0.015
sFC,0.027,0.006,0.002,0.003,0.002,0.002,0.004,0.008,0.003,0.003,0.003,0.006
