,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.049,0.049,0.053,0.053,0.054,0.053,0.054,0.051,0.054,0.050,0.050,0.052
DCC_bivariate_loop,0.061,0.061,0.062,0.061,0.062,0.062,0.062,0.062,0.062,0.062,0.061,0.062
SW_cross_validated,0.076,0.076,0.076,0.078,0.080,0.079,0.078,0.077,0.077,0.077,0.076,0.077
SW_15,0.247,0.248,0.248,0.247,0.248,0.248,0.248,0.247,0.248,0.248,0.247,0.248
SW_30,0.180,0.181,0.181,0.180,0.181,0.180,0.180,0.181,0.180,0.180,0.180,0.180
SW_60,0.131,0.132,0.131,0.131,0.133,0.132,0.132,0.132,0.132,0.132,0.131,0.132
SW_120,0.106,0.107,0.106,0.110,0.109,0.109,0.111,0.111,0.108,0.107,0.107,0.108
sFC,0.050,0.049,0.053,0.053,0.054,0.054,0.054,0.051,0.055,0.051,0.050,0.052
