,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.033,0.026,0.690,0.690,0.691,0.690,0.692,0.379,0.793,0.195,0.297,0.471
DCC_bivariate_loop,0.057,0.034,0.173,0.235,0.274,0.300,0.326,0.275,0.240,0.181,0.157,0.205
SW_cross_validated,0.070,0.164,0.211,0.568,0.787,0.751,0.643,0.409,0.338,0.213,0.187,0.395
SW_15,0.259,0.319,0.300,0.297,0.288,0.308,0.311,0.283,0.321,0.286,0.282,0.296
SW_30,0.204,0.233,0.215,0.212,0.221,0.242,0.277,0.233,0.245,0.236,0.215,0.230
SW_60,0.150,0.174,0.150,0.184,0.259,0.370,0.502,0.242,0.229,0.219,0.178,0.241
SW_120,0.116,0.157,0.147,0.353,0.596,0.757,0.815,0.375,0.272,0.225,0.170,0.362
sFC,0.038,0.010,0.691,0.691,0.692,0.690,0.692,0.379,0.795,0.194,0.296,0.470
