,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.034,0.010,0.690,0.691,0.692,0.690,0.692,0.379,0.794,0.194,0.296,0.469
DCC_bivariate_loop,0.058,0.016,0.166,0.233,0.274,0.297,0.324,0.274,0.242,0.179,0.154,0.202
SW_cross_validated,0.081,0.032,0.250,0.560,0.784,0.753,0.637,0.431,0.272,0.196,0.132,0.375
SW_15,0.291,0.122,0.167,0.177,0.190,0.194,0.198,0.247,0.175,0.247,0.211,0.202
SW_30,0.215,0.080,0.116,0.134,0.156,0.184,0.225,0.211,0.155,0.204,0.157,0.167
SW_60,0.158,0.056,0.099,0.164,0.248,0.364,0.496,0.236,0.172,0.200,0.130,0.211
SW_120,0.124,0.044,0.164,0.362,0.592,0.755,0.814,0.381,0.224,0.205,0.122,0.344
sFC,0.038,0.010,0.691,0.691,0.692,0.690,0.692,0.379,0.795,0.194,0.296,0.470
