,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,,0.31,0.09,1.08,0.87,1.07,1.85,1.78,1.92
SVWP,0.31,,0.34,1.46,1.23,1.45,1.37,1.29,1.43
DCC_joint,0.09,0.34,,2.58,1.70,2.79,4.63,6.15,6.61
SW_cross_validated,1.08,1.46,2.58,,0.21,0.06,5.99,6.85,7.16
SW_15,0.87,1.23,1.70,0.21,,0.17,4.37,4.60,4.82
SW_30,1.07,1.45,2.79,0.06,0.17,,6.50,7.78,8.12
SW_60,1.85,1.37,4.63,5.99,4.37,6.50,,0.42,0.01
SW_120,1.78,1.29,6.15,6.85,4.60,7.78,0.42,,0.89
sFC,1.92,1.43,6.61,7.16,4.82,8.12,0.01,0.89,
