,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.016,0.014,0.020,0.019,0.019,0.013,0.012,0.010,0.021,0.016,0.018,0.016
DCC_joint,0.007,0.008,0.007,0.004,0.007,0.006,0.005,0.005,0.009,0.007,0.007,0.007
DCC_bivariate_loop,0.011,0.009,0.006,0.006,0.012,0.009,0.007,0.009,0.007,0.007,0.009,0.008
SW_cross_validated,0.025,0.024,0.011,0.013,0.018,0.014,0.025,0.017,0.026,0.014,0.022,0.019
SW_15,0.008,0.007,0.004,0.009,0.008,0.007,0.007,0.005,0.007,0.007,0.006,0.007
SW_30,0.008,0.008,0.005,0.007,0.010,0.006,0.005,0.004,0.006,0.004,0.008,0.007
SW_60,0.007,0.011,0.011,0.012,0.013,0.009,0.011,0.010,0.009,0.008,0.010,0.010
SW_120,0.008,0.018,0.010,0.015,0.019,0.011,0.011,0.010,0.010,0.010,0.010,0.012
sFC,0.016,0.012,0.008,0.007,0.009,0.010,0.012,0.012,0.006,0.014,0.012,0.011
