,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,,,,,,,,,
DCC_joint,,,0.020,0.053,0.044,0.071,0.038,0.314,0.024,0.102,0.586,0.139
DCC_bivariate_loop,,,0.018,0.035,0.029,0.036,0.024,0.086,0.011,0.181,0.139,0.062
SW_cross_validated,,,0.024,0.058,0.054,0.319,0.351,0.369,0.012,0.147,0.205,0.171
SW_15,,,0.026,0.024,0.022,0.028,0.029,0.069,0.022,0.111,0.067,0.044
SW_30,,,0.029,0.022,0.030,0.032,0.042,0.085,0.013,0.129,0.075,0.051
SW_60,,,0.043,0.036,0.050,0.066,0.072,0.112,0.016,0.138,0.098,0.070
SW_120,,,0.025,0.115,0.201,0.126,0.117,0.131,0.013,0.110,0.164,0.111
sFC,,,,,,,,,,,,
