,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.032,0.118,0.143,0.195,0.216,0.316,0.363,0.222,0.183,0.136,0.145,0.188
DCC_joint,0.024,0.039,0.199,0.265,0.282,0.298,0.314,0.186,0.206,0.105,0.144,0.187
DCC_bivariate_loop,0.036,0.056,0.137,0.175,0.183,0.203,0.223,0.160,0.156,0.108,0.121,0.142
SW_cross_validated,0.102,0.148,0.141,0.239,0.227,0.268,0.355,0.223,0.191,0.160,0.149,0.200
SW_15,0.158,0.203,0.173,0.184,0.173,0.181,0.180,0.179,0.184,0.169,0.184,0.179
SW_30,0.138,0.167,0.152,0.160,0.155,0.161,0.182,0.168,0.152,0.146,0.152,0.157
SW_60,0.130,0.157,0.148,0.159,0.184,0.212,0.285,0.172,0.145,0.155,0.146,0.172
SW_120,0.115,0.131,0.126,0.220,0.327,0.413,0.435,0.220,0.169,0.161,0.141,0.223
sFC,0.032,0.049,0.360,0.368,0.363,0.367,0.364,0.206,0.418,0.121,0.168,0.256
