,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.060,0.049,0.045,0.050,0.045,0.071,0.020,0.020,0.039,0.022,0.059,0.044
DCC_joint,0.023,0.016,0.026,0.022,0.020,0.018,0.018,0.007,0.035,0.009,0.022,0.020
DCC_bivariate_loop,0.024,0.017,0.015,0.020,0.024,0.021,0.010,0.018,0.015,0.011,0.033,0.019
SW_cross_validated,0.055,0.029,0.031,0.028,0.020,0.063,0.039,0.030,0.035,0.030,0.040,0.036
SW_15,0.021,0.023,0.018,0.020,0.021,0.028,0.018,0.013,0.020,0.025,0.029,0.021
SW_30,0.023,0.029,0.031,0.017,0.029,0.028,0.024,0.019,0.016,0.022,0.023,0.024
SW_60,0.034,0.039,0.058,0.044,0.029,0.033,0.010,0.033,0.020,0.019,0.038,0.033
SW_120,0.030,0.032,0.042,0.052,0.039,0.016,0.016,0.029,0.027,0.021,0.045,0.032
sFC,0.016,0.050,0.010,0.018,0.011,0.013,0.017,0.015,0.012,0.016,0.023,0.018
