,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.072,0.082,0.088,0.098,0.092,0.114,0.121,0.093,0.089,0.093,0.081,0.093
DCC_joint,0.045,0.062,0.081,0.090,0.091,0.093,0.094,0.064,0.103,0.059,0.064,0.077
DCC_bivariate_loop,0.055,0.073,0.071,0.078,0.080,0.084,0.086,0.067,0.083,0.071,0.069,0.074
SW_cross_validated,0.121,0.132,0.136,0.145,0.162,0.171,0.154,0.137,0.133,0.133,0.125,0.141
SW_15,0.251,0.252,0.250,0.253,0.254,0.254,0.254,0.252,0.257,0.254,0.254,0.253
SW_30,0.182,0.186,0.183,0.188,0.188,0.185,0.186,0.185,0.189,0.189,0.185,0.186
SW_60,0.146,0.152,0.152,0.154,0.154,0.157,0.164,0.150,0.149,0.154,0.156,0.153
SW_120,0.126,0.131,0.135,0.138,0.149,0.162,0.166,0.137,0.138,0.137,0.133,0.141
sFC,0.067,0.065,0.105,0.109,0.107,0.109,0.114,0.084,0.118,0.077,0.070,0.093
