,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.099,0.114,0.117,0.130,0.137,0.145,0.143,0.124,0.122,0.122,0.114,0.124
DCC_joint,0.105,0.108,0.121,0.132,0.131,0.136,0.134,0.110,0.132,0.114,0.111,0.121
DCC_bivariate_loop,0.108,0.112,0.111,0.119,0.118,0.124,0.122,0.110,0.117,0.117,0.112,0.115
SW_cross_validated,0.148,0.158,0.160,0.167,0.188,0.198,0.177,0.167,0.159,0.155,0.153,0.166
SW_15,0.246,0.249,0.245,0.249,0.248,0.250,0.249,0.246,0.249,0.250,0.247,0.248
SW_30,0.200,0.205,0.202,0.205,0.204,0.205,0.207,0.202,0.204,0.207,0.202,0.204
SW_60,0.169,0.171,0.173,0.175,0.175,0.178,0.184,0.173,0.170,0.174,0.173,0.174
SW_120,0.148,0.156,0.151,0.157,0.166,0.179,0.181,0.160,0.159,0.155,0.151,0.160
sFC,0.067,0.065,0.105,0.109,0.107,0.109,0.114,0.084,0.119,0.078,0.070,0.093
