,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.063,0.039,0.036,0.052,0.035,0.071,0.019,0.020,0.029,0.021,0.045,0.039
DCC_joint,0.032,0.043,0.030,0.029,0.024,0.025,0.022,0.017,0.030,0.031,0.036,0.029
DCC_bivariate_loop,0.033,0.042,0.031,0.018,0.025,0.023,0.024,0.026,0.036,0.027,0.053,0.031
SW_cross_validated,0.052,0.032,0.025,0.029,0.017,0.062,0.044,0.033,0.029,0.031,0.037,0.036
SW_15,0.036,0.026,0.023,0.021,0.025,0.025,0.018,0.019,0.030,0.019,0.033,0.025
SW_30,0.029,0.037,0.034,0.028,0.024,0.020,0.025,0.014,0.040,0.017,0.039,0.028
SW_60,0.040,0.043,0.040,0.048,0.044,0.036,0.016,0.036,0.030,0.027,0.051,0.037
SW_120,0.024,0.037,0.035,0.049,0.039,0.019,0.019,0.032,0.029,0.025,0.049,0.033
sFC,0.016,0.050,0.010,0.018,0.011,0.013,0.017,0.015,0.011,0.016,0.023,0.018
