,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.033,0.123,0.148,0.175,0.195,0.312,0.362,0.218,0.181,0.134,0.138,0.184
DCC_joint,0.031,0.178,0.176,0.245,0.265,0.284,0.303,0.193,0.218,0.148,0.179,0.202
DCC_bivariate_loop,0.046,0.185,0.200,0.230,0.241,0.257,0.270,0.184,0.253,0.153,0.169,0.199
SW_cross_validated,0.112,0.140,0.159,0.236,0.233,0.267,0.358,0.233,0.186,0.161,0.148,0.203
SW_15,0.278,0.298,0.295,0.297,0.297,0.307,0.287,0.278,0.329,0.284,0.294,0.295
SW_30,0.204,0.221,0.221,0.223,0.206,0.220,0.206,0.212,0.245,0.202,0.215,0.216
SW_60,0.157,0.169,0.182,0.175,0.184,0.208,0.288,0.189,0.185,0.176,0.176,0.190
SW_120,0.131,0.126,0.157,0.219,0.329,0.421,0.449,0.236,0.176,0.168,0.149,0.233
sFC,0.031,0.050,0.360,0.368,0.363,0.367,0.364,0.206,0.417,0.121,0.168,0.256
