,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.021,0.016,0.022,0.020,0.023,0.020,0.015,0.013,0.019,0.018,0.021,0.019
DCC_joint,0.008,0.010,0.005,0.007,0.005,0.005,0.005,0.007,0.008,0.007,0.005,0.006
DCC_bivariate_loop,0.008,0.008,0.005,0.006,0.008,0.006,0.006,0.007,0.009,0.007,0.005,0.007
SW_cross_validated,0.025,0.021,0.017,0.012,0.018,0.019,0.028,0.018,0.025,0.016,0.019,0.020
SW_15,0.004,0.003,0.004,0.004,0.004,0.003,0.004,0.004,0.005,0.004,0.002,0.004
SW_30,0.005,0.004,0.003,0.005,0.006,0.004,0.005,0.005,0.006,0.004,0.005,0.005
SW_60,0.007,0.006,0.008,0.008,0.009,0.009,0.009,0.010,0.007,0.008,0.009,0.008
SW_120,0.008,0.019,0.009,0.013,0.015,0.009,0.009,0.013,0.012,0.008,0.010,0.012
sFC,0.016,0.012,0.008,0.007,0.009,0.010,0.012,0.012,0.007,0.014,0.012,0.011
