,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.020,0.012,0.011,0.017,0.011,0.023,0.006,0.006,0.009,0.007,0.014,0.012
DCC_joint,0.010,0.013,0.009,0.009,0.007,0.008,0.007,0.005,0.009,0.010,0.011,0.009
DCC_bivariate_loop,0.010,0.013,0.010,0.006,0.008,0.007,0.008,0.008,0.011,0.009,0.017,0.010
SW_cross_validated,0.017,0.010,0.008,0.009,0.005,0.020,0.014,0.010,0.009,0.010,0.012,0.011
SW_15,0.011,0.008,0.007,0.007,0.008,0.008,0.006,0.006,0.009,0.006,0.011,0.008
SW_30,0.009,0.012,0.011,0.009,0.008,0.006,0.008,0.004,0.013,0.005,0.012,0.009
SW_60,0.013,0.014,0.013,0.015,0.014,0.011,0.005,0.011,0.010,0.008,0.016,0.012
SW_120,0.008,0.012,0.011,0.016,0.012,0.006,0.006,0.010,0.009,0.008,0.016,0.010
sFC,0.005,0.016,0.003,0.006,0.003,0.004,0.005,0.005,0.004,0.005,0.007,0.006
