,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,,,,,,,,,
DCC_joint,,,0.899,0.832,0.809,0.771,0.727,0.459,0.901,0.021,0.347,0.641
DCC_bivariate_loop,,,0.935,0.884,0.873,0.838,0.794,0.626,0.937,0.186,0.742,0.757
SW_cross_validated,,,0.945,0.823,0.812,0.630,0.171,0.126,0.930,-0.054,0.751,0.571
SW_15,,,0.883,0.876,0.888,0.883,0.866,0.698,0.901,0.402,0.609,0.778
SW_30,,,0.915,0.911,0.914,0.902,0.862,0.689,0.937,0.370,0.686,0.798
SW_60,,,0.931,0.924,0.881,0.841,0.637,0.607,0.941,0.202,0.747,0.746
SW_120,,,0.957,0.861,0.479,-0.299,-0.526,0.147,0.927,-0.060,0.786,0.364
sFC,,,,,,,,,,,,
