,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.074,0.048,0.066,0.057,0.078,0.054,0.020,0.009,0.044,0.048,0.044,0.049
DCC_joint,0.019,0.027,0.016,0.035,0.023,0.022,0.014,0.014,0.028,0.011,0.023,0.021
DCC_bivariate_loop,0.021,0.029,0.015,0.023,0.013,0.019,0.019,0.020,0.023,0.014,0.014,0.019
SW_cross_validated,0.049,0.046,0.052,0.056,0.055,0.058,0.059,0.023,0.037,0.026,0.046,0.046
SW_15,0.012,0.030,0.026,0.025,0.023,0.021,0.017,0.016,0.019,0.022,0.029,0.022
SW_30,0.021,0.033,0.022,0.029,0.014,0.015,0.022,0.017,0.021,0.028,0.031,0.023
SW_60,0.030,0.026,0.039,0.039,0.020,0.021,0.013,0.028,0.044,0.029,0.028,0.029
SW_120,0.035,0.023,0.047,0.035,0.017,0.014,0.019,0.010,0.055,0.035,0.029,0.029
sFC,0.031,0.032,0.011,0.011,0.005,0.007,0.006,0.009,0.008,0.027,0.015,0.015
