,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,0.064,0.343,,,0.196,0.028,0.132,,0.152
DCC_joint,,,0.017,0.043,0.031,,,0.263,0.021,0.161,,0.089
DCC_bivariate_loop,,,0.012,0.032,0.027,,,0.112,0.018,0.174,,0.063
SW_cross_validated,,,0.051,0.074,0.159,0.279,0.308,0.210,0.031,0.112,0.079,0.145
SW_15,,,0.028,0.032,0.028,0.025,0.028,0.051,0.020,0.080,0.111,0.045
SW_30,,,0.024,0.024,0.019,0.023,0.031,0.063,0.021,0.090,0.109,0.045
SW_60,,,0.036,0.027,0.022,0.057,0.071,0.141,0.038,0.135,0.093,0.069
SW_120,,,0.044,0.041,0.120,0.145,0.149,0.112,0.038,0.155,0.108,0.101
sFC,,,,,,,,,,,,
