,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,0.888,0.690,,,0.203,0.931,0.023,,0.547
DCC_joint,,,0.941,0.861,0.816,,,0.477,0.923,0.078,,0.683
DCC_bivariate_loop,,,0.952,0.897,0.849,,,0.588,0.936,0.326,,0.758
SW_cross_validated,,,0.927,0.871,0.783,0.607,0.347,0.275,0.924,0.031,0.759,0.614
SW_15,,,0.891,0.889,0.879,0.881,0.875,0.662,0.910,0.453,0.629,0.785
SW_30,,,0.927,0.926,0.914,0.895,0.893,0.698,0.927,0.419,0.728,0.814
SW_60,,,0.943,0.937,0.906,0.811,0.707,0.612,0.929,0.262,0.782,0.765
SW_120,,,0.948,0.887,0.469,-0.273,-0.527,0.146,0.929,0.009,0.791,0.375
sFC,,,,,,,,,,,,
