,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.032,0.024,0.027,0.022,0.025,0.024,0.022,0.026,0.024,0.028,0.021,0.025
DCC_joint,0.015,0.006,0.010,0.010,0.010,0.009,0.007,0.012,0.012,0.010,0.011,0.010
DCC_bivariate_loop,0.015,0.006,0.011,0.013,0.011,0.012,0.009,0.013,0.012,0.011,0.012,0.011
SW_cross_validated,0.021,0.022,0.034,0.025,0.019,0.017,0.023,0.030,0.012,0.022,0.026,0.023
SW_15,0.009,0.007,0.005,0.008,0.009,0.004,0.004,0.008,0.007,0.006,0.007,0.007
SW_30,0.008,0.008,0.006,0.006,0.010,0.005,0.010,0.010,0.012,0.010,0.011,0.009
SW_60,0.012,0.009,0.008,0.009,0.011,0.008,0.012,0.014,0.013,0.011,0.012,0.011
SW_120,0.012,0.014,0.022,0.011,0.009,0.008,0.012,0.014,0.012,0.018,0.014,0.013
sFC,0.013,0.013,0.009,0.008,0.005,0.007,0.006,0.015,0.004,0.012,0.011,0.009
