,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,0.020,0.109,,,0.062,0.009,0.042,,0.048
DCC_joint,,,0.005,0.014,0.010,,,0.083,0.007,0.051,,0.028
DCC_bivariate_loop,,,0.004,0.010,0.009,,,0.035,0.006,0.055,,0.020
SW_cross_validated,,,0.016,0.023,0.050,0.088,0.097,0.066,0.010,0.036,0.025,0.046
SW_15,,,0.009,0.010,0.009,0.008,0.009,0.016,0.006,0.025,0.035,0.014
SW_30,,,0.008,0.008,0.006,0.007,0.010,0.020,0.007,0.029,0.035,0.014
SW_60,,,0.011,0.008,0.007,0.018,0.022,0.044,0.012,0.043,0.030,0.022
SW_120,,,0.014,0.013,0.038,0.046,0.047,0.035,0.012,0.049,0.034,0.032
sFC,,,,,,,,,,,,
