,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.027,0.026,0.023,0.026,0.024,0.013,0.012,0.019,0.011,0.015,0.017,0.019
DCC_joint,0.015,0.008,0.014,0.009,0.008,0.009,0.007,0.011,0.015,0.011,0.012,0.011
DCC_bivariate_loop,0.015,0.009,0.011,0.012,0.007,0.015,0.009,0.014,0.011,0.013,0.016,0.012
SW_cross_validated,0.023,0.023,0.026,0.020,0.014,0.013,0.015,0.024,0.011,0.020,0.024,0.020
SW_15,0.009,0.006,0.010,0.011,0.009,0.009,0.010,0.008,0.010,0.008,0.014,0.009
SW_30,0.010,0.007,0.010,0.009,0.009,0.006,0.010,0.013,0.011,0.007,0.012,0.010
SW_60,0.012,0.014,0.009,0.009,0.012,0.005,0.010,0.020,0.012,0.014,0.013,0.012
SW_120,0.014,0.028,0.017,0.015,0.011,0.008,0.014,0.015,0.016,0.019,0.014,0.016
sFC,0.013,0.013,0.009,0.008,0.005,0.007,0.006,0.015,0.004,0.012,0.011,0.009
