,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.079,0.090,0.074,0.112,0.121,0.135,0.149,0.100,0.097,0.080,0.072,0.101
DCC_joint,0.045,0.085,0.106,0.124,0.126,0.126,0.119,0.085,0.121,0.069,0.073,0.098
DCC_bivariate_loop,0.050,0.090,0.086,0.098,0.104,0.103,0.099,0.085,0.093,0.073,0.072,0.087
SW_cross_validated,0.127,0.134,0.132,0.158,0.164,0.170,0.176,0.145,0.135,0.121,0.126,0.144
SW_15,0.234,0.239,0.246,0.243,0.243,0.245,0.237,0.241,0.242,0.245,0.238,0.241
SW_30,0.173,0.175,0.176,0.182,0.180,0.179,0.169,0.176,0.175,0.180,0.171,0.176
SW_60,0.143,0.145,0.137,0.150,0.144,0.156,0.156,0.146,0.148,0.141,0.129,0.145
SW_120,0.123,0.131,0.113,0.152,0.162,0.180,0.195,0.139,0.130,0.122,0.108,0.141
sFC,0.055,0.070,0.138,0.144,0.139,0.139,0.140,0.099,0.158,0.071,0.078,0.112
