,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.072,0.038,0.046,0.050,0.081,0.072,0.019,0.009,0.042,0.036,0.044,0.046
DCC_joint,0.027,0.019,0.034,0.027,0.016,0.025,0.016,0.025,0.032,0.028,0.030,0.025
DCC_bivariate_loop,0.030,0.020,0.030,0.026,0.016,0.023,0.024,0.035,0.037,0.023,0.024,0.026
SW_cross_validated,0.050,0.037,0.043,0.047,0.044,0.056,0.063,0.023,0.033,0.030,0.043,0.043
SW_15,0.020,0.024,0.027,0.033,0.027,0.018,0.017,0.035,0.032,0.022,0.019,0.025
SW_30,0.021,0.030,0.016,0.031,0.026,0.027,0.019,0.033,0.022,0.032,0.027,0.026
SW_60,0.030,0.033,0.022,0.031,0.023,0.022,0.018,0.034,0.038,0.034,0.031,0.029
SW_120,0.039,0.028,0.033,0.032,0.018,0.018,0.021,0.015,0.047,0.032,0.027,0.028
sFC,0.031,0.031,0.011,0.011,0.005,0.007,0.006,0.009,0.008,0.027,0.015,0.015
