,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.023,0.015,0.021,0.018,0.025,0.017,0.006,0.003,0.014,0.015,0.014,0.016
DCC_joint,0.006,0.009,0.005,0.011,0.007,0.007,0.005,0.004,0.009,0.004,0.007,0.007
DCC_bivariate_loop,0.007,0.009,0.005,0.007,0.004,0.006,0.006,0.006,0.007,0.004,0.005,0.006
SW_cross_validated,0.016,0.014,0.017,0.018,0.017,0.018,0.019,0.007,0.012,0.008,0.014,0.015
SW_15,0.004,0.009,0.008,0.008,0.007,0.007,0.005,0.005,0.006,0.007,0.009,0.007
SW_30,0.007,0.010,0.007,0.009,0.005,0.005,0.007,0.005,0.007,0.009,0.010,0.007
SW_60,0.010,0.008,0.012,0.012,0.006,0.007,0.004,0.009,0.014,0.009,0.009,0.009
SW_120,0.011,0.007,0.015,0.011,0.005,0.004,0.006,0.003,0.017,0.011,0.009,0.009
sFC,0.010,0.010,0.004,0.004,0.002,0.002,0.002,0.003,0.003,0.009,0.005,0.005
