,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.081,0.112,0.160,0.211,0.249,0.329,0.368,0.206,0.178,0.163,0.116,0.197
DCC_joint,0.033,0.066,0.130,0.193,0.228,0.253,0.265,0.178,0.167,0.107,0.113,0.157
DCC_bivariate_loop,0.041,0.072,0.117,0.168,0.196,0.202,0.211,0.163,0.152,0.109,0.096,0.139
SW_cross_validated,0.131,0.140,0.149,0.190,0.228,0.270,0.333,0.208,0.180,0.168,0.148,0.195
SW_15,0.150,0.192,0.173,0.177,0.180,0.175,0.177,0.181,0.175,0.174,0.178,0.176
SW_30,0.127,0.150,0.142,0.146,0.152,0.165,0.163,0.159,0.160,0.153,0.135,0.150
SW_60,0.130,0.135,0.131,0.140,0.169,0.225,0.270,0.164,0.162,0.147,0.123,0.163
SW_120,0.114,0.114,0.130,0.210,0.322,0.396,0.437,0.212,0.174,0.164,0.118,0.217
sFC,0.047,0.054,0.362,0.364,0.361,0.358,0.360,0.203,0.416,0.129,0.161,0.256
