,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,5.22,7.53,12.07,72.20,48.08,29.83,18.23,5.22
DCC_joint,,5.22,,3.32,8.86,85.51,55.38,31.00,16.04,0.03
DCC_bivariate_loop,,7.53,3.32,,5.29,69.22,42.90,23.15,11.59,-3.28
SW_cross_validated,,12.07,8.86,5.29,,56.68,32.45,15.11,5.69,-8.79
SW_15,,72.20,85.51,69.22,56.68,,-37.09,-56.10,-52.61,-84.70
SW_30,,48.08,55.38,42.90,32.45,-37.09,,-23.16,-26.98,-54.79
SW_60,,29.83,31.00,23.15,15.11,-56.10,-23.16,,-8.94,-30.70
SW_120,,18.23,16.04,11.59,5.69,-52.61,-26.98,-8.94,,-15.93
sFC,,5.22,0.03,-3.28,-8.79,-84.70,-54.79,-30.70,-15.93,
