,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,,,,,,,,,
DCC_joint,,,0.019,0.029,0.032,0.026,0.041,0.375,0.011,0.073,0.509,0.124
DCC_bivariate_loop,,,0.011,0.010,0.010,0.016,0.024,0.037,0.005,0.131,0.056,0.033
SW_cross_validated,,,0.005,0.026,0.049,0.136,0.068,0.162,0.011,0.070,0.059,0.065
SW_15,,,0.020,0.016,0.015,0.019,0.024,0.044,0.017,0.136,0.108,0.044
SW_30,,,0.013,0.012,0.014,0.013,0.024,0.024,0.012,0.114,0.079,0.034
SW_60,,,0.007,0.010,0.016,0.023,0.068,0.019,0.006,0.089,0.052,0.032
SW_120,,,0.006,0.024,0.108,0.164,0.146,0.039,0.007,0.122,0.046,0.074
sFC,,,,,,,,,,,,
