,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.014,0.055,0.129,0.169,0.179,0.454,0.679,0.356,0.246,0.199,0.150,0.239
DCC_joint,0.051,0.033,0.434,0.560,0.601,0.620,0.630,0.369,0.363,0.194,0.275,0.376
DCC_bivariate_loop,0.060,0.039,0.191,0.208,0.274,0.301,0.336,0.253,0.244,0.190,0.162,0.205
SW_cross_validated,0.078,0.170,0.149,0.293,0.358,0.755,0.639,0.397,0.293,0.221,0.163,0.320
SW_15,0.258,0.315,0.287,0.296,0.306,0.304,0.318,0.275,0.335,0.280,0.300,0.298
SW_30,0.194,0.226,0.199,0.214,0.221,0.240,0.276,0.221,0.243,0.230,0.215,0.225
SW_60,0.134,0.173,0.141,0.193,0.260,0.374,0.497,0.240,0.229,0.215,0.160,0.238
SW_120,0.099,0.163,0.149,0.359,0.595,0.766,0.815,0.367,0.269,0.230,0.158,0.361
sFC,0.048,0.019,0.690,0.691,0.690,0.691,0.690,0.377,0.794,0.194,0.294,0.471
