,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,,,,,,,,,
DCC_joint,,,0.006,0.009,0.010,0.008,0.013,0.119,0.003,0.023,0.161,0.039
DCC_bivariate_loop,,,0.004,0.003,0.003,0.005,0.007,0.012,0.002,0.041,0.018,0.011
SW_cross_validated,,,0.002,0.008,0.016,0.043,0.021,0.051,0.003,0.022,0.019,0.021
SW_15,,,0.006,0.005,0.005,0.006,0.008,0.014,0.005,0.043,0.034,0.014
SW_30,,,0.004,0.004,0.005,0.004,0.008,0.008,0.004,0.036,0.025,0.011
SW_60,,,0.002,0.003,0.005,0.007,0.021,0.006,0.002,0.028,0.016,0.010
SW_120,,,0.002,0.008,0.034,0.052,0.046,0.012,0.002,0.039,0.015,0.023
sFC,,,,,,,,,,,,
