,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.015,0.012,0.026,0.016,0.030,0.250,0.009,0.035,0.031,0.005,0.013,0.040
DCC_joint,0.021,0.012,0.039,0.030,0.020,0.012,0.023,0.011,0.019,0.003,0.015,0.019
DCC_bivariate_loop,0.025,0.014,0.027,0.021,0.018,0.022,0.034,0.019,0.015,0.008,0.028,0.021
SW_cross_validated,0.018,0.011,0.043,0.077,0.087,0.008,0.009,0.020,0.028,0.006,0.014,0.029
SW_15,0.023,0.014,0.027,0.020,0.014,0.019,0.027,0.022,0.022,0.017,0.022,0.021
SW_30,0.020,0.016,0.026,0.020,0.025,0.023,0.025,0.010,0.016,0.009,0.024,0.019
SW_60,0.020,0.010,0.033,0.021,0.025,0.014,0.021,0.007,0.014,0.007,0.025,0.018
SW_120,0.028,0.022,0.020,0.024,0.022,0.008,0.008,0.007,0.008,0.013,0.017,0.016
sFC,0.019,0.011,0.003,0.004,0.002,0.004,0.005,0.003,0.001,0.003,0.003,0.005
