,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.005,0.004,0.008,0.005,0.010,0.079,0.003,0.011,0.010,0.002,0.004,0.013
DCC_joint,0.007,0.004,0.012,0.009,0.006,0.004,0.007,0.003,0.006,0.001,0.005,0.006
DCC_bivariate_loop,0.008,0.004,0.009,0.007,0.006,0.007,0.011,0.006,0.005,0.003,0.009,0.007
SW_cross_validated,0.006,0.003,0.014,0.024,0.027,0.003,0.003,0.006,0.009,0.002,0.004,0.009
SW_15,0.007,0.004,0.009,0.006,0.005,0.006,0.009,0.007,0.007,0.005,0.007,0.007
SW_30,0.006,0.005,0.008,0.006,0.008,0.007,0.008,0.003,0.005,0.003,0.008,0.006
SW_60,0.006,0.003,0.010,0.007,0.008,0.004,0.007,0.002,0.005,0.002,0.008,0.006
SW_120,0.009,0.007,0.006,0.007,0.007,0.003,0.003,0.002,0.003,0.004,0.005,0.005
sFC,0.006,0.004,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.002
