,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.041,0.039,0.061,0.066,0.071,0.098,0.115,0.071,0.064,0.050,0.051,0.066
DCC_joint,0.049,0.051,0.102,0.108,0.112,0.113,0.115,0.076,0.121,0.056,0.068,0.088
DCC_bivariate_loop,0.063,0.062,0.072,0.066,0.074,0.076,0.081,0.071,0.069,0.065,0.067,0.070
SW_cross_validated,0.098,0.100,0.109,0.120,0.135,0.153,0.139,0.115,0.112,0.102,0.102,0.117
SW_15,0.262,0.263,0.263,0.262,0.261,0.263,0.266,0.258,0.262,0.259,0.264,0.262
SW_30,0.191,0.192,0.192,0.189,0.190,0.191,0.195,0.189,0.191,0.190,0.193,0.191
SW_60,0.141,0.140,0.142,0.139,0.144,0.152,0.161,0.142,0.144,0.142,0.145,0.145
SW_120,0.112,0.114,0.120,0.126,0.149,0.171,0.172,0.130,0.125,0.121,0.124,0.133
sFC,0.048,0.049,0.120,0.119,0.118,0.118,0.119,0.076,0.133,0.055,0.067,0.093
