,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,,,,,,,,,
DCC_joint,,,0.895,0.890,0.828,0.822,0.782,0.319,0.904,0.016,0.639,0.677
DCC_bivariate_loop,,,0.962,0.955,0.919,0.900,0.876,0.753,0.952,0.246,0.848,0.824
SW_cross_validated,,,0.989,0.953,0.920,-0.504,0.607,-0.059,0.944,0.006,0.862,0.524
SW_15,,,0.916,0.913,0.904,0.905,0.895,0.758,0.911,0.372,0.660,0.804
SW_30,,,0.962,0.956,0.950,0.945,0.924,0.824,0.954,0.400,0.796,0.857
SW_60,,,0.983,0.970,0.955,0.919,0.800,0.787,0.960,0.266,0.878,0.835
SW_120,,,0.989,0.942,0.633,-0.448,-0.657,0.266,0.947,-0.026,0.870,0.391
sFC,,,,,,,,,,,,
