,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.053,0.050,0.078,0.082,0.093,0.115,0.145,0.090,0.083,0.062,0.063,0.083
DCC_joint,0.055,0.051,0.110,0.119,0.128,0.130,0.133,0.089,0.128,0.064,0.076,0.098
DCC_bivariate_loop,0.064,0.060,0.071,0.072,0.083,0.087,0.092,0.082,0.077,0.070,0.070,0.075
SW_cross_validated,0.114,0.119,0.123,0.135,0.153,0.165,0.168,0.144,0.132,0.122,0.118,0.136
SW_15,0.250,0.253,0.251,0.248,0.251,0.250,0.249,0.250,0.251,0.246,0.247,0.250
SW_30,0.190,0.192,0.188,0.187,0.189,0.189,0.191,0.190,0.188,0.190,0.184,0.189
SW_60,0.150,0.149,0.146,0.146,0.152,0.159,0.174,0.151,0.149,0.148,0.142,0.151
SW_120,0.137,0.132,0.128,0.143,0.173,0.191,0.203,0.147,0.136,0.133,0.129,0.150
sFC,0.050,0.046,0.141,0.143,0.142,0.142,0.142,0.088,0.161,0.062,0.078,0.109
